A,1,True
A,2,True
A,3,True
A,4,False
A,5,True
A,6,True
A,7,True
A,8,True
A,9,True
A,10,True
B,1,True
B,2,True
B,3,True
B,4,True
B,5,True
B,6,True
B,7,True
B,8,True
B,9,False
B,10,True
C,1,True
C,2,True
C,3,False
C,4,True
C,5,True
C,6,True
C,7,True
C,8,True
C,9,True
C,10,True
D,1,True
D,2,True
D,3,True
D,4,True
D,5,True
D,6,True
D,7,True
D,8,True
D,9,True
D,10,True
E,1,True
E,2,True
E,3,True
E,4,True
E,5,True
E,6,True
E,7,True
E,8,True
E,9,True
E,10,True
F,1,True
F,2,True
F,3,True
F,4,True
F,5,True
F,6,True
F,7,True
F,8,False
F,9,True
F,10,False
G,1,False
G,2,True
G,3,True
G,4,True
G,5,True
G,6,True
G,7,True
G,8,True
G,9,True
G,10,True
H,1,False
H,2,True
H,3,True
H,4,True
H,5,True
H,6,True
H,7,False
H,8,True
H,9,True
H,10,True
I,1,True
I,2,False
I,3,True
I,4,True
I,5,True
I,6,True
I,7,True
I,8,True
I,9,True
I,10,True
J,1,True
J,2,True
J,3,True
J,4,True
J,5,False
J,6,True
J,7,True
J,8,True
J,9,True
J,10,True
K,1,True
K,2,True
K,3,True
K,4,True
K,5,True
K,6,False
K,7,True
K,8,True
K,9,True
K,10,True
L,1,True
L,2,True
L,3,True
L,4,True
L,5,True
L,6,True
L,7,True
L,8,True
L,9,True
L,10,True
M,1,True
M,2,True
M,3,True
M,4,True
M,5,True
M,6,True
M,7,True
M,8,True
M,9,True
M,10,True
N,1,True
N,2,True
N,3,True
N,4,True
N,5,True
N,6,True
N,7,True
N,8,True
N,9,True
N,10,True
O,1,True
O,2,True
O,3,True
O,4,True
O,5,True
O,6,True
O,7,True
O,8,False
O,9,True
O,10,True
P,1,True
P,2,True
P,3,True
P,4,True
P,5,True
P,6,True
P,7,True
P,8,True
P,9,True
P,10,True
Q,1,True
Q,2,False
Q,3,True
Q,4,True
Q,5,True
Q,6,True
Q,7,True
Q,8,True
Q,9,True
Q,10,True
R,1,True
R,2,True
R,3,True
R,4,True
R,5,True
R,6,True
R,7,True
R,8,True
R,9,True
R,10,True
S,1,True
S,2,True
S,3,False
S,4,True
S,5,True
S,6,True
S,7,True
S,8,True
S,9,True
S,10,True
T,1,True
T,2,True
T,3,False
T,4,True
T,5,True
T,6,True
T,7,True
T,8,True
T,9,True
T,10,True
